|photoFullPath|Marker1|Marker2|Marker3|Marker4|ColorLeft|ColorRight|GrayScaleRight|GreyScaleLeft|CircleTop|CircleRight|CircleBottom|CircleLeft
0|./source_to_label/20201124_231540.jpg|(0.275, 0.20833333333333334)|(0.7575, 0.20333333333333334)|(0.79, 0.7616666666666667)|(0.275, 0.775)|(0.2325, 0.3016666666666667)|(0.8125, 0.3)|(0.8325, 0.66)|(0.2525, 0.665)|(0.5175, 0.33166666666666667)|(0.7225, 0.465)|(0.535, 0.6266666666666667)|(0.325, 0.4666666666666667)
1|./source_to_label/20201124_231542.jpg|(0.31, 0.24666666666666667)|(0.775, 0.24833333333333332)|(0.81, 0.7983333333333333)|(0.295, 0.8083333333333333)|(0.2725, 0.33)|(0.815, 0.3383333333333333)|(0.8425, 0.69)|(0.2925, 0.6983333333333334)|(0.5475, 0.36833333333333335)|(0.745, 0.5066666666666667)|(0.5575, 0.655)|(0.36, 0.505)
2|./source_to_label/20201124_231545.jpg|(0.2425, 0.21833333333333332)|(0.79, 0.21666666666666667)|(0.8225, 0.8466666666666667)|(0.245, 0.87)|(0.205, 0.3233333333333333)|(0.8275, 0.3283333333333333)|(0.8525, 0.7333333333333333)|(0.2475, 0.7533333333333333)|(0.5225, 0.36666666666666664)|(0.7475, 0.5183333333333333)|(0.53, 0.6983333333333334)|(0.3025, 0.5266666666666666)
3|./source_to_label/20201124_231547.jpg|(0.2325, 0.25)|(0.78, 0.22)|(0.84, 0.85)|(0.2925, 0.8733333333333333)|(0.21, 0.36)|(0.8275, 0.33)|(0.87, 0.74)|(0.2775, 0.7683333333333333)|(0.5075, 0.38333333333333336)|(0.755, 0.5116666666666667)|(0.555, 0.7166666666666667)|(0.3175, 0.555)
4|./source_to_label/20201124_231551.jpg|(0.1025, 0.21833333333333332)|(0.6375, 0.17833333333333334)|(0.7575, 0.815)|(0.1325, 0.86)|(0.08, 0.315)|(0.6925, 0.275)|(0.7775, 0.6866666666666666)|(0.135, 0.7333333333333333)|(0.3825, 0.3333333333333333)|(0.635, 0.4583333333333333)|(0.4225, 0.6683333333333333)|(0.18, 0.5033333333333333)
5|./source_to_label/20201124_231553.jpg|(0.2025, 0.26)|(0.695, 0.24166666666666667)|(0.78, 0.8366666666666667)|(0.1875, 0.86)|(0.175, 0.3516666666666667)|(0.7425, 0.33)|(0.805, 0.7116666666666667)|(0.2, 0.74)|(0.4625, 0.375)|(0.6775, 0.5016666666666667)|(0.485, 0.6833333333333333)|(0.2575, 0.525)
6|./source_to_label/20201124_231555.jpg|(0.2775, 0.31166666666666665)|(0.73, 0.29)|(0.8075, 0.8433333333333334)|(0.2825, 0.8666666666666667)|(0.25, 0.39666666666666667)|(0.78, 0.37)|(0.83, 0.7333333333333333)|(0.28, 0.7566666666666667)|(0.515, 0.41833333333333333)|(0.72, 0.54)|(0.54, 0.71)|(0.3275, 0.5616666666666666)
7|./source_to_label/20201124_231557.jpg|(0.2575, 0.30333333333333334)|(0.72, 0.29)|(0.7625, 0.84)|(0.27, 0.8583333333333333)|(0.2325, 0.39666666666666667)|(0.7625, 0.385)|(0.795, 0.735)|(0.27, 0.7516666666666667)|(0.4975, 0.42333333333333334)|(0.695, 0.5466666666666666)|(0.51, 0.7116666666666667)|(0.3125, 0.565)
8|./source_to_label/20201124_231600.jpg|(0.195, 0.24)|(0.725, 0.23333333333333334)|(0.77, 0.8233333333333334)|(0.2375, 0.855)|(0.17, 0.3433333333333333)|(0.775, 0.33)|(0.795, 0.7166666666666667)|(0.23, 0.7466666666666667)|(0.4775, 0.37833333333333335)|(0.6925, 0.5166666666666667)|(0.5, 0.6933333333333334)|(0.2775, 0.5333333333333333)
9|./source_to_label/20201124_231632.jpg|(0.205, 0.19333333333333333)|(0.725, 0.175)|(0.7725, 0.7933333333333333)|(0.195, 0.815)|(0.165, 0.28833333333333333)|(0.77, 0.285)|(0.7975, 0.6816666666666666)|(0.195, 0.6966666666666667)|(0.48, 0.3233333333333333)|(0.695, 0.47333333333333333)|(0.4825, 0.6466666666666666)|(0.255, 0.485)
