|photoFullPath|Marker1|Marker2|Marker3|Marker4|ColorLeft|ColorRight|GrayScaleRight|GreyScaleLeft|CircleTop|CircleRight|CircleBottom|CircleLeft
0|./source_to_label/20201121_162350.jpg|(0.215, 0.23666666666666666)|(0.725, 0.195)|(0.8075, 0.82)|(0.24, 0.8316666666666667)|(0.1775, 0.33666666666666667)|(0.785, 0.29333333333333333)|(0.84, 0.6966666666666667)|(0.2225, 0.7183333333333334)|(0.475, 0.3466666666666667)|(0.7075, 0.49166666666666664)|(0.5025, 0.6683333333333333)|(0.2725, 0.5116666666666667)
1|./source_to_label/20201121_162352.jpg|(0.24, 0.22)|(0.77, 0.2)|(0.815, 0.8333333333333334)|(0.2425, 0.8283333333333334)|(0.2025, 0.32166666666666666)|(0.8225, 0.3)|(0.8525, 0.7116666666666667)|(0.2325, 0.715)|(0.51, 0.3416666666666667)|(0.7375, 0.5033333333333333)|(0.5075, 0.675)|(0.295, 0.5083333333333333)
2|./source_to_label/20201121_162354.jpg|(0.255, 0.19)|(0.8175, 0.18166666666666667)|(0.8275, 0.8366666666666667)|(0.2525, 0.8166666666666667)|(0.2125, 0.295)|(0.8775, 0.2916666666666667)|(0.88, 0.7133333333333334)|(0.24, 0.7083333333333334)|(0.54, 0.33166666666666667)|(0.765, 0.49666666666666665)|(0.535, 0.6683333333333333)|(0.31, 0.49166666666666664)
3|./source_to_label/20201121_162356.jpg|(0.28, 0.17)|(0.845, 0.17666666666666667)|(0.8225, 0.8216666666666667)|(0.2425, 0.8016666666666666)|(0.2325, 0.2783333333333333)|(0.895, 0.2916666666666667)|(0.8825, 0.715)|(0.24, 0.6933333333333334)|(0.5525, 0.32)|(0.78, 0.495)|(0.5425, 0.66)|(0.3225, 0.4716666666666667)
4|./source_to_label/20201121_162401.jpg|(0.285, 0.35333333333333333)|(0.6575, 0.3566666666666667)|(0.67, 0.79)|(0.2825, 0.8083333333333333)|(0.25, 0.435)|(0.695, 0.42833333333333334)|(0.7025, 0.71)|(0.2725, 0.72)|(0.475, 0.46)|(0.6225, 0.5633333333333334)|(0.475, 0.6866666666666666)|(0.32, 0.5666666666666667)
5|./source_to_label/20201121_162403.jpg|(0.255, 0.37166666666666665)|(0.64, 0.3566666666666667)|(0.6825, 0.7883333333333333)|(0.2875, 0.8183333333333334)|(0.2275, 0.45)|(0.685, 0.43)|(0.7125, 0.7116666666666667)|(0.2725, 0.7416666666666667)|(0.46, 0.465)|(0.6225, 0.555)|(0.4825, 0.695)|(0.3175, 0.5816666666666667)
6|./source_to_label/20201121_162405.jpg|(0.31, 0.37)|(0.6525, 0.395)|(0.6675, 0.8033333333333333)|(0.275, 0.8183333333333334)|(0.2625, 0.445)|(0.6775, 0.4633333333333333)|(0.69, 0.7216666666666667)|(0.27, 0.7316666666666667)|(0.4725, 0.47833333333333333)|(0.615, 0.58)|(0.4675, 0.6966666666666667)|(0.3325, 0.5816666666666667)
7|./source_to_label/20201121_162407.jpg|(0.2975, 0.375)|(0.6625, 0.38333333333333336)|(0.6775, 0.81)|(0.2925, 0.82)|(0.265, 0.45)|(0.6975, 0.4533333333333333)|(0.71, 0.725)|(0.2775, 0.735)|(0.485, 0.4766666666666667)|(0.635, 0.58)|(0.475, 0.705)|(0.3325, 0.5866666666666667)
8|./source_to_label/20201121_162426.jpg|(0.285, 0.335)|(0.6825, 0.34)|(0.69, 0.7816666666666666)|(0.2925, 0.7966666666666666)|(0.2525, 0.42)|(0.72, 0.4166666666666667)|(0.725, 0.705)|(0.275, 0.7166666666666667)|(0.4925, 0.445)|(0.6475, 0.5516666666666666)|(0.4925, 0.6866666666666666)|(0.33, 0.565)
9|./source_to_label/20201124_231356.jpg|(0.22, 0.20666666666666667)|(0.7625, 0.22)|(0.76, 0.8233333333333334)|(0.2075, 0.8416666666666667)|(0.1675, 0.30666666666666664)|(0.805, 0.32166666666666666)|(0.8125, 0.7133333333333334)|(0.19, 0.725)|(0.495, 0.3516666666666667)|(0.71, 0.5083333333333333)|(0.495, 0.6816666666666666)|(0.265, 0.5116666666666667)
10|./source_to_label/20201124_231401.jpg|(0.22, 0.17166666666666666)|(0.7625, 0.19166666666666668)|(0.7825, 0.795)|(0.225, 0.8266666666666667)|(0.165, 0.265)|(0.8125, 0.295)|(0.83, 0.6866666666666666)|(0.205, 0.7116666666666667)|(0.5075, 0.32)|(0.73, 0.48)|(0.515, 0.6566666666666666)|(0.29, 0.48833333333333334)
11|./source_to_label/20201124_231408.jpg|(0.185, 0.195)|(0.73, 0.21)|(0.6925, 0.755)|(0.2325, 0.7966666666666666)|(0.1425, 0.31166666666666665)|(0.7675, 0.31333333333333335)|(0.74, 0.66)|(0.2125, 0.71)|(0.48, 0.35333333333333333)|(0.67, 0.48833333333333334)|(0.4775, 0.6516666666666666)|(0.27, 0.52)
12|./source_to_label/20201124_231413.jpg|(0.19, 0.18333333333333332)|(0.77, 0.16333333333333333)|(0.78, 0.7666666666666667)|(0.265, 0.8233333333333334)|(0.1425, 0.315)|(0.8275, 0.275)|(0.83, 0.665)|(0.2425, 0.725)|(0.495, 0.33666666666666667)|(0.73, 0.47)|(0.515, 0.66)|(0.2825, 0.5016666666666667)
13|./source_to_label/20201124_231420.jpg|(0.245, 0.22333333333333333)|(0.75, 0.21833333333333332)|(0.735, 0.83)|(0.18, 0.8066666666666666)|(0.18, 0.31333333333333335)|(0.795, 0.31166666666666665)|(0.7975, 0.71)|(0.1825, 0.6966666666666667)|(0.4775, 0.345)|(0.6825, 0.5)|(0.4775, 0.6633333333333333)|(0.2625, 0.48833333333333334)
