|photoFullPath|Marker1|Marker2|Marker3|Marker4|ColorLeft|ColorRight|GrayScaleRight|GreyScaleLeft|CircleTop|CircleRight|CircleBottom|CircleLeft
0|./source_to_label/20201124_232111.jpg|(0.175, 0.17166666666666666)|(0.7475, 0.11333333333333333)|(0.84, 0.7833333333333333)|(0.275, 0.81)|(0.16, 0.2866666666666667)|(0.8, 0.22666666666666666)|(0.8625, 0.6566666666666666)|(0.2575, 0.7)|(0.4825, 0.29833333333333334)|(0.735, 0.43333333333333335)|(0.5325, 0.6333333333333333)|(0.2775, 0.49)
1|./source_to_label/20201124_232113.jpg|(0.2225, 0.21833333333333332)|(0.72, 0.19166666666666668)|(0.7725, 0.79)|(0.2475, 0.7983333333333333)|(0.195, 0.31166666666666665)|(0.7675, 0.29)|(0.8025, 0.6733333333333333)|(0.24, 0.695)|(0.4825, 0.3383333333333333)|(0.6925, 0.48)|(0.495, 0.6416666666666667)|(0.2825, 0.49333333333333335)
2|./source_to_label/20201124_232114.jpg|(0.2425, 0.18833333333333332)|(0.725, 0.155)|(0.7875, 0.7333333333333333)|(0.27, 0.7516666666666667)|(0.215, 0.28)|(0.77, 0.25166666666666665)|(0.815, 0.625)|(0.26, 0.6466666666666666)|(0.4875, 0.3)|(0.7025, 0.43333333333333335)|(0.515, 0.595)|(0.305, 0.4533333333333333)
3|./source_to_label/20201124_232121.jpg|(0.21, 0.20833333333333334)|(0.7675, 0.18333333333333332)|(0.8325, 0.7966666666666666)|(0.2925, 0.8483333333333334)|(0.1925, 0.31833333333333336)|(0.8125, 0.2966666666666667)|(0.8475, 0.6833333333333333)|(0.285, 0.7366666666666667)|(0.51, 0.3466666666666667)|(0.7475, 0.48833333333333334)|(0.545, 0.6683333333333333)|(0.31, 0.52)
4|./source_to_label/20201124_232122.jpg|(0.23, 0.21)|(0.78, 0.175)|(0.8625, 0.8016666666666666)|(0.33, 0.85)|(0.215, 0.32666666666666666)|(0.8375, 0.2783333333333333)|(0.89, 0.6883333333333334)|(0.3025, 0.7416666666666667)|(0.5325, 0.345)|(0.7675, 0.4766666666666667)|(0.5825, 0.67)|(0.3325, 0.53)
5|./source_to_label/20201124_232123.jpg|(0.19, 0.22666666666666666)|(0.74, 0.17)|(0.8475, 0.8016666666666666)|(0.3075, 0.8533333333333334)|(0.18, 0.3383333333333333)|(0.79, 0.2783333333333333)|(0.86, 0.6883333333333334)|(0.2875, 0.75)|(0.49, 0.35)|(0.7375, 0.47333333333333333)|(0.555, 0.6733333333333333)|(0.3025, 0.53)
6|./source_to_label/20201124_232125.jpg|(0.18, 0.21166666666666667)|(0.7075, 0.155)|(0.8175, 0.7833333333333333)|(0.265, 0.83)|(0.155, 0.30833333333333335)|(0.765, 0.25833333333333336)|(0.835, 0.66)|(0.2475, 0.7083333333333334)|(0.4675, 0.3233333333333333)|(0.705, 0.4483333333333333)|(0.52, 0.6466666666666666)|(0.2675, 0.5033333333333333)
7|./source_to_label/20201124_232126.jpg|(0.2075, 0.18)|(0.73, 0.145)|(0.83, 0.76)|(0.27, 0.8116666666666666)|(0.1775, 0.285)|(0.7875, 0.25166666666666665)|(0.8475, 0.6466666666666666)|(0.2575, 0.69)|(0.4875, 0.30333333333333334)|(0.725, 0.44333333333333336)|(0.535, 0.6266666666666667)|(0.2925, 0.475)
8|./source_to_label/20201124_232127.jpg|(0.2475, 0.205)|(0.7475, 0.18166666666666667)|(0.8275, 0.7683333333333333)|(0.31, 0.81)|(0.21, 0.3)|(0.795, 0.28)|(0.845, 0.6566666666666666)|(0.2975, 0.7033333333333334)|(0.515, 0.3333333333333333)|(0.7375, 0.4666666666666667)|(0.555, 0.6383333333333333)|(0.325, 0.49333333333333335)
9|./source_to_label/20201124_232137.jpg|(0.25, 0.19666666666666666)|(0.7625, 0.2)|(0.76, 0.8033333333333333)|(0.235, 0.795)|(0.21, 0.3)|(0.805, 0.30333333333333334)|(0.795, 0.6983333333333334)|(0.235, 0.6916666666666667)|(0.5075, 0.34)|(0.7175, 0.495)|(0.5025, 0.6516666666666666)|(0.2975, 0.48833333333333334)
