|photoFullPath|Marker1|Marker2|Marker3|Marker4|ColorLeft|ColorRight|GrayScaleRight|GreyScaleLeft|CircleTop|CircleRight|CircleBottom|CircleLeft
0|./source_to_label/20201124_231803.jpg|(0.22, 0.21333333333333335)|(0.69, 0.20833333333333334)|(0.71, 0.735)|(0.24, 0.7566666666666667)|(0.185, 0.30666666666666664)|(0.7225, 0.305)|(0.745, 0.6433333333333333)|(0.2425, 0.665)|(0.4675, 0.3383333333333333)|(0.6575, 0.4633333333333333)|(0.48, 0.6183333333333333)|(0.2825, 0.4816666666666667)
1|./source_to_label/20201124_231805.jpg|(0.2, 0.23833333333333334)|(0.66, 0.22833333333333333)|(0.67, 0.7616666666666667)|(0.225, 0.7583333333333333)|(0.1725, 0.33166666666666667)|(0.695, 0.32166666666666666)|(0.7, 0.6583333333333333)|(0.2125, 0.67)|(0.4275, 0.35833333333333334)|(0.6175, 0.49333333333333335)|(0.44, 0.635)|(0.2525, 0.49166666666666664)
2|./source_to_label/20201124_231807.jpg|(0.175, 0.23666666666666666)|(0.6275, 0.22166666666666668)|(0.63, 0.7516666666666667)|(0.185, 0.745)|(0.1475, 0.32666666666666666)|(0.66, 0.31)|(0.665, 0.6583333333333333)|(0.1875, 0.6583333333333333)|(0.3975, 0.3516666666666667)|(0.5775, 0.48)|(0.4025, 0.6266666666666667)|(0.2225, 0.49333333333333335)
3|./source_to_label/20201124_231900.jpg|(0.3525, 0.22333333333333333)|(0.855, 0.23666666666666666)|(0.85, 0.8133333333333334)|(0.3325, 0.8166666666666667)|(0.32, 0.31833333333333336)|(0.8925, 0.335)|(0.8875, 0.71)|(0.3425, 0.715)|(0.6075, 0.36)|(0.805, 0.5166666666666667)|(0.6, 0.67)|(0.4025, 0.5066666666666667)
4|./source_to_label/20201124_231901.jpg|(0.325, 0.22)|(0.8375, 0.23833333333333334)|(0.835, 0.8066666666666666)|(0.3125, 0.8133333333333334)|(0.2975, 0.31666666666666665)|(0.8725, 0.33166666666666667)|(0.8775, 0.7116666666666667)|(0.33, 0.7083333333333334)|(0.5825, 0.36666666666666664)|(0.7875, 0.5183333333333333)|(0.585, 0.6683333333333333)|(0.3825, 0.51)
5|./source_to_label/20201124_231902.jpg|(0.2925, 0.22833333333333333)|(0.795, 0.22833333333333333)|(0.8175, 0.81)|(0.2925, 0.8116666666666666)|(0.2625, 0.325)|(0.84, 0.32666666666666666)|(0.8425, 0.6983333333333334)|(0.2975, 0.705)|(0.5475, 0.3616666666666667)|(0.7575, 0.5066666666666667)|(0.55, 0.6583333333333333)|(0.345, 0.5033333333333333)
6|./source_to_label/20201124_231903.jpg|(0.265, 0.25333333333333335)|(0.75, 0.24166666666666667)|(0.785, 0.8183333333333334)|(0.265, 0.81)|(0.24, 0.3416666666666667)|(0.7925, 0.3333333333333333)|(0.8125, 0.71)|(0.2575, 0.71)|(0.5125, 0.37333333333333335)|(0.715, 0.5166666666666667)|(0.515, 0.67)|(0.315, 0.5166666666666667)
7|./source_to_label/20201124_231905.jpg|(0.2575, 0.25666666666666665)|(0.7475, 0.24666666666666667)|(0.7625, 0.835)|(0.25, 0.8233333333333334)|(0.23, 0.355)|(0.785, 0.34833333333333333)|(0.7975, 0.7316666666666667)|(0.2575, 0.7216666666666667)|(0.4975, 0.3883333333333333)|(0.7025, 0.5316666666666666)|(0.5025, 0.6816666666666666)|(0.3075, 0.5283333333333333)
8|./source_to_label/20201124_231907.jpg|(0.2225, 0.26666666666666666)|(0.71, 0.23833333333333334)|(0.74, 0.83)|(0.2125, 0.8233333333333334)|(0.195, 0.3566666666666667)|(0.7575, 0.3383333333333333)|(0.765, 0.7266666666666667)|(0.2175, 0.72)|(0.46, 0.385)|(0.67, 0.5166666666666667)|(0.4675, 0.6816666666666666)|(0.2725, 0.5366666666666666)
9|./source_to_label/20201124_231915.jpg|(0.32, 0.26166666666666666)|(0.7775, 0.25)|(0.83, 0.81)|(0.2925, 0.8133333333333334)|(0.2825, 0.3433333333333333)|(0.815, 0.33666666666666667)|(0.86, 0.6933333333333334)|(0.3075, 0.7033333333333334)|(0.5575, 0.37333333333333335)|(0.7575, 0.5)|(0.56, 0.6616666666666666)|(0.36, 0.5166666666666667)
10|./source_to_label/20201124_231916.jpg|(0.29, 0.27)|(0.7525, 0.25333333333333335)|(0.8075, 0.8083333333333333)|(0.285, 0.8183333333333334)|(0.26, 0.35333333333333333)|(0.79, 0.335)|(0.8375, 0.7016666666666667)|(0.295, 0.71)|(0.525, 0.38333333333333336)|(0.73, 0.5016666666666667)|(0.54, 0.6666666666666666)|(0.335, 0.525)
11|./source_to_label/20201124_231917.jpg|(0.2825, 0.23666666666666666)|(0.79, 0.22666666666666666)|(0.8075, 0.8133333333333334)|(0.3, 0.81)|(0.26, 0.34)|(0.8225, 0.325)|(0.835, 0.705)|(0.3, 0.71)|(0.5375, 0.36666666666666664)|(0.7475, 0.5066666666666667)|(0.545, 0.6683333333333333)|(0.3425, 0.5133333333333333)
12|./source_to_label/20201124_231919.jpg|(0.265, 0.255)|(0.7825, 0.24333333333333335)|(0.7825, 0.8066666666666666)|(0.29, 0.8116666666666666)|(0.24, 0.3516666666666667)|(0.815, 0.345)|(0.8125, 0.72)|(0.2925, 0.72)|(0.5275, 0.385)|(0.7325, 0.5266666666666666)|(0.5275, 0.68)|(0.335, 0.54)
13|./source_to_label/20201124_231921.jpg|(0.265, 0.285)|(0.79, 0.26666666666666666)|(0.775, 0.825)|(0.3025, 0.835)|(0.24, 0.38666666666666666)|(0.815, 0.37666666666666665)|(0.815, 0.745)|(0.2925, 0.7433333333333333)|(0.5225, 0.4216666666666667)|(0.7275, 0.5583333333333333)|(0.5375, 0.7066666666666667)|(0.3325, 0.565)
14|./source_to_label/20201124_231923.jpg|(0.2275, 0.30333333333333334)|(0.72, 0.2833333333333333)|(0.735, 0.8333333333333334)|(0.275, 0.8416666666666667)|(0.2075, 0.3983333333333333)|(0.755, 0.38666666666666666)|(0.7625, 0.74)|(0.27, 0.75)|(0.48, 0.43166666666666664)|(0.6775, 0.56)|(0.4975, 0.7116666666666667)|(0.3025, 0.5833333333333334)
15|./source_to_label/20201124_231924.jpg|(0.235, 0.24833333333333332)|(0.73, 0.24333333333333335)|(0.7375, 0.7933333333333333)|(0.25, 0.8016666666666666)|(0.2125, 0.3466666666666667)|(0.765, 0.34)|(0.76, 0.7033333333333334)|(0.2525, 0.7116666666666667)|(0.4875, 0.37833333333333335)|(0.68, 0.5133333333333333)|(0.4925, 0.67)|(0.295, 0.52)
16|./source_to_label/20201124_231925.jpg|(0.23, 0.255)|(0.695, 0.24333333333333335)|(0.7375, 0.7733333333333333)|(0.2675, 0.7966666666666666)|(0.21, 0.34833333333333333)|(0.725, 0.33166666666666667)|(0.7575, 0.675)|(0.2525, 0.6983333333333334)|(0.4725, 0.37833333333333335)|(0.6675, 0.49333333333333335)|(0.4875, 0.6516666666666666)|(0.2925, 0.5183333333333333)
17|./source_to_label/20201124_231926.jpg|(0.3075, 0.2733333333333333)|(0.7375, 0.2966666666666667)|(0.7075, 0.7933333333333333)|(0.2575, 0.7766666666666666)|(0.27, 0.35333333333333333)|(0.7625, 0.38)|(0.745, 0.7083333333333334)|(0.2625, 0.685)|(0.5125, 0.39666666666666667)|(0.68, 0.5366666666666666)|(0.4875, 0.6566666666666666)|(0.325, 0.5083333333333333)
